text,departure,destination
Nous cherchons un itinéraire de train de Bordeaux à Nice,Bordeaux,Nice
Il prévoit de partir de Paris à Rennes,Paris,Rennes
Elle veut prendre un train de Lille à Marseille,Lille,Marseille
Nous prévoyons un voyage de Rennes à Paris,Rennes,Paris
Je vais voyager de Toulouse à Lille,Toulouse,Lille
Elle doit rejoindre des collègues de Paris à Lyon,Paris,Lyon
Nous cherchons un trajet en train de Bordeaux à Marseille,Bordeaux,Marseille
Il prend un avion de Nice à Strasbourg,Nice,Strasbourg
Elle part de Rennes pour visiter Nantes,Rennes,Nantes
Nous réservons un billet de Paris à Toulouse,Paris,Toulouse
Il prévoit un vol de Lyon à Lille,Lyon,Lille
Elle prend un train de Bordeaux à Marseille,Bordeaux,Marseille
Nous cherchons un vol de Toulouse à Rennes,Toulouse,Rennes
Je prévois de prendre un train de Paris à Nice,Paris,Nice
Nous partons demain de Lille à Bordeaux,Lille,Bordeaux
Elle veut réserver un billet de Rennes à Lyon,Rennes,Lyon
Je dois aller de Paris à Nantes,Paris,Nantes
Elle prévoit un voyage de Marseille à Lille,Marseille,Lille
Nous avons pris un billet de Toulouse à Bordeaux,Toulouse,Bordeaux
Il part en voiture de Lille à Paris,Lille,Paris
Je prends un vol de Marseille à Strasbourg,Marseille,Strasbourg
Elle part en train de Bordeaux à Rennes,Bordeaux,Rennes
Nous réservons un billet de Lyon à Marseille,Lyon,Marseille
Elle veut voyager de Toulouse à Paris,Toulouse,Paris
Nous cherchons un itinéraire de train de Rennes à Lille,Rennes,Lille
Il prend un avion de Marseille à Nantes,Marseille,Nantes
Elle prévoit de partir de Paris à Rennes,Paris,Rennes
Nous allons de Lyon à Bordeaux demain,Lyon,Bordeaux
Il prend un train de Lille à Toulouse,Lille,Toulouse
Elle cherche un trajet de Rennes à Marseille,Rennes,Marseille
Nous prévoyons un voyage de Bordeaux à Lyon,Bordeaux,Lyon
Je dois aller de Paris à Marseille demain,Paris,Marseille
Elle prévoit de rejoindre ses amis de Lille à Toulouse,Lille,Toulouse
Il part de Rennes pour un événement à Paris,Rennes,Paris
Nous réservons un billet de Marseille à Lille,Marseille,Lille
Elle prend un avion de Toulouse à Lyon,Toulouse,Lyon
Je pars de Paris pour visiter Rennes,Paris,Rennes
Nous cherchons un trajet de train de Lille à Bordeaux,Lille,Bordeaux
Il voyage de Rennes à Nice,Rennes,Nice
Je cherche un billet de train de Paris à Marseille,Paris,Marseille
Elle prévoit de voyager de Bordeaux à Lyon demain,Bordeaux,Lyon
Nous avons un vol prévu de Toulouse à Nice,Toulouse,Nice
Il prend le bus de Rennes à Strasbourg ce soir,Rennes,Strasbourg
Elle veut un itinéraire de train de Lille à Paris,Lille,Paris
Je dois partir de Lyon pour une réunion à Marseille,Lyon,Marseille
Nous avons un billet de train pour un voyage de Nantes à Paris,Nantes,Paris
Elle prévoit de prendre le train de Marseille à Lyon,Marseille,Lyon
Je cherche un itinéraire de Bordeaux à Nice,Bordeaux,Nice
Il prévoit de partir de Rennes pour visiter Lille,Rennes,Lille
Elle prend un avion de Toulouse à Strasbourg,Toulouse,Strasbourg
Nous allons voyager de Lyon à Bordeaux demain,Lyon,Bordeaux
Il part en train de Paris à Nice,Paris,Nice
Elle veut réserver un billet de Rennes à Marseille,Rennes,Marseille
Je prévois de prendre le train de Nantes à Lyon,Nantes,Lyon
Nous avons un vol prévu de Lille à Toulouse,Lille,Toulouse
Elle doit rejoindre des amis de Marseille à Paris,Marseille,Paris
Il prévoit de voyager de Bordeaux à Strasbourg,Bordeaux,Strasbourg
Nous cherchons un itinéraire de Rennes à Toulouse,Rennes,Toulouse
Elle prend un billet pour un trajet de Nice à Bordeaux,Nice,Bordeaux
Je veux partir de Lyon pour un événement à Paris,Lyon,Paris
Il partira demain de Toulouse à Lille,Toulouse,Lille
Elle prend un train de Rennes à Lyon,Rennes,Lyon
Nous réservons un vol de Marseille à Nice,Marseille,Nice
Il veut voyager de Paris à Strasbourg,Paris,Strasbourg
Elle prévoit un trajet de Bordeaux à Toulouse,Bordeaux,Toulouse
Nous avons un billet pour un voyage de Lille à Lyon,Lille,Lyon
Elle veut rejoindre ses collègues de Rennes à Paris,Rennes,Paris
Je dois partir de Marseille pour un séjour à Bordeaux,Marseille,Bordeaux
Il prend le bus de Nice à Toulouse ce soir,Nice,Toulouse
Elle prévoit de voyager de Lyon à Rennes demain,Lyon,Rennes
Nous réservons un vol de Paris à Lille,Paris,Lille
Elle partira en train de Bordeaux à Marseille,Bordeaux,Marseille
Il prévoit de rejoindre des amis de Rennes à Nice,Rennes,Nice
Nous avons un trajet prévu de Toulouse à Lyon,Toulouse,Lyon
Elle doit partir de Paris pour un événement à Marseille,Paris,Marseille
Je cherche un itinéraire de Rennes à Bordeaux,Rennes,Bordeaux
Il part de Lille pour un séjour à Strasbourg,Lille,Strasbourg
Elle prend un avion de Nice à Lyon la semaine prochaine,Nice,Lyon
Nous prévoyons de prendre le train de Bordeaux à Lille,Bordeaux,Lille
Elle veut rejoindre des amis de Paris à Toulouse,Paris,Toulouse
Nous avons réservé un billet de Marseille à Rennes,Marseille,Rennes
Il prévoit de partir de Lyon pour visiter Lille,Lyon,Lille
Je pars de Rennes pour un voyage à Paris,Rennes,Paris
Elle prend un billet de train de Toulouse à Nice,Toulouse,Nice
Nous réservons un vol de Bordeaux à Strasbourg,Bordeaux,Strasbourg
Il cherche un itinéraire de Paris à Lyon,Paris,Lyon
Elle prévoit de rejoindre ses collègues de Lille à Marseille,Lille,Marseille
Nous devons partir de Nice pour un événement à Rennes,Nice,Rennes
Je cherche un vol de Toulouse à Paris,Toulouse,Paris
Elle a prévu de voyager de Bordeaux à Marseille,Bordeaux,Marseille
Nous avons un billet pour un trajet de Lyon à Strasbourg,Lyon,Strasbourg
Elle veut partir de Lille pour visiter Rennes,Lille,Rennes
Je prévois de prendre le train de Marseille à Paris,Marseille,Paris
Il prend un bus de Bordeaux à Nice ce soir,Bordeaux,Nice
Elle prévoit un itinéraire de Rennes à Toulouse,Rennes,Toulouse
Nous allons partir de Lyon pour un événement à Lille,Lyon,Lille
Elle veut prendre un billet de train de Nice à Paris,Nice,Paris
Il prévoit de rejoindre des amis de Marseille à Rennes,Marseille,Rennes
Je cherche un trajet de Toulouse à Lyon,Toulouse,Lyon
Elle prend un avion de Bordeaux à Paris,Bordeaux,Paris
Nous partons en train de Lille à Nice,Lille,Nice
Il prévoit de voyager de Rennes à Strasbourg,Rennes,Strasbourg
Elle veut prendre un vol de Lyon à Toulouse,Lyon,Toulouse
Je cherche un billet de train de Marseille à Lille,Marseille,Lille
Nous avons réservé un vol de Paris à Bordeaux,Paris,Bordeaux
Elle partira de Nice pour un événement à Rennes,Nice,Rennes
Il prévoit un voyage de Toulouse à Marseille,Toulouse,Marseille
Nous avons un trajet de Lille à Paris prévu,Lille,Paris
Elle veut rejoindre ses amis de Rennes à Lyon,Rennes,Lyon
Je pars de Bordeaux pour visiter Marseille,Bordeaux,Marseille
Il prévoit de prendre un bus de Lyon à Nice,Lyon,Nice
Elle a réservé un billet pour un trajet de Paris à Toulouse,Paris,Toulouse
Nous cherchons un vol de Marseille à Strasbourg,Marseille,Strasbourg
Elle veut voyager de Lille à Bordeaux,Lille,Bordeaux
Je cherche un billet de train de Rennes à Marseille,Rennes,Marseille
Nous prévoyons de prendre un vol de Toulouse à Paris,Toulouse,Paris
Elle prévoit un trajet de Nice à Lyon,Nice,Lyon
Il part de Bordeaux pour un séjour à Lille,Bordeaux,Lille
Elle prend un billet pour un trajet de Rennes à Nice,Rennes,Nice
Nous avons réservé un vol de Paris à Lyon,Paris,Lyon
Il cherche un itinéraire de Marseille à Toulouse,Marseille,Toulouse
Elle veut partir de Strasbourg pour un séjour à Rennes,Strasbourg,Rennes
Je prévois de prendre le bus de Nice à Paris,Nice,Paris
Elle prévoit de rejoindre ses amis de Lille à Bordeaux,Lille,Bordeaux
Nous réservons un vol de Toulouse à Lyon,Toulouse,Lyon
Il veut partir de Rennes pour visiter Marseille,Rennes,Marseille
Je prends un billet de train de Bordeaux à Strasbourg,Bordeaux,Strasbourg
Elle veut voyager de Lyon à Paris,Lyon,Paris
Nous avons un billet pour un trajet de Lille à Nice,Lille,Nice
Elle doit rejoindre des collègues de Rennes à Bordeaux,Rennes,Bordeaux
Je cherche un vol de Marseille à Paris,Marseille,Paris
Il prévoit de partir de Lyon pour un événement à Toulouse,Lyon,Toulouse
Elle prend un train de Bordeaux à Lille,Bordeaux,Lille
Nous cherchons un vol de Paris à Strasbourg,Paris,Strasbourg
Elle veut rejoindre des amis de Nice à Lyon,Nice,Lyon
Il prévoit de voyager de Toulouse à Bordeaux,Toulouse,Bordeaux
Je pars de Rennes pour visiter Marseille,Rennes,Marseille
Elle prévoit un trajet de Lyon à Paris,Lyon,Paris
Nous avons réservé un billet de Marseille à Nice,Marseille,Nice
Il cherche un itinéraire de Bordeaux à Toulouse,Bordeaux,Toulouse
Elle veut rejoindre ses amis de Lille à Rennes,Lille,Rennes
Nous prévoyons de partir de Paris pour visiter Lyon,Paris,Lyon
Elle prend un vol de Nice à Strasbourg,Nice,Strasbourg
Je dois aller de Marseille à Bordeaux,Marseille,Bordeaux
Il veut un billet de train de Rennes à Toulouse,Rennes,Toulouse
Elle prévoit de voyager de Lyon à Marseille demain,Lyon,Marseille
Nous cherchons un vol de Paris à Nice,Paris,Nice
Elle prévoit un trajet de Bordeaux à Rennes,Bordeaux,Rennes
Nous partons demain de Toulouse à Lille,Toulouse,Lille
Il prend un billet pour un trajet de Paris à Strasbourg,Paris,Strasbourg
Elle prévoit un voyage de Marseille à Lyon,Marseille,Lyon
Je cherche un itinéraire de train de Bordeaux à Paris,Bordeaux,Paris
Nous avons un billet pour un trajet de Lille à Marseille,Lille,Marseille
Elle veut voyager de Rennes à Toulouse,Rennes,Toulouse
Il prévoit de partir de Paris pour un événement à Nice,Paris,Nice
Elle prend un vol de Bordeaux à Lyon,Bordeaux,Lyon
Nous avons réservé un billet de Marseille à Strasbourg,Marseille,Strasbourg
Elle prévoit de partir de Lille à Paris,Lille,Paris
Je cherche un vol de Toulouse à Rennes,Toulouse,Rennes
Nous partons en train de Bordeaux à Lyon,Bordeaux,Lyon
Elle veut prendre un vol de Nice à Toulouse,Nice,Toulouse
Il prévoit de rejoindre des amis de Paris à Bordeaux,Paris,Bordeaux
Nous avons réservé un billet de Lyon à Nice,Lyon,Nice
Elle veut partir de Marseille pour un séjour à Strasbourg,Marseille,Strasbourg
Je cherche un billet de train de Lille à Rennes,Lille,Rennes
Nous prévoyons de prendre le bus de Paris à Marseille,Paris,Marseille
Elle prévoit un trajet de Bordeaux à Toulouse,Bordeaux,Toulouse
Il part de Nice pour un événement à Lyon,Nice,Lyon
Elle prend un billet pour un trajet de Rennes à Bordeaux,Rennes,Bordeaux
Nous réservons un vol de Paris à Strasbourg,Paris,Strasbourg
Il cherche un itinéraire de Marseille à Nice,Marseille,Nice
Elle veut partir de Toulouse pour un séjour à Lille,Toulouse,Lille
Nous prévoyons de voyager de Rennes à Paris,Rennes,Paris
Elle prend un vol de Bordeaux à Marseille,Bordeaux,Marseille
Je prévois de partir de Lyon pour visiter Toulouse,Lyon,Toulouse
Elle veut rejoindre des collègues de Nice à Paris,Nice,Paris
Nous cherchons un vol de Lille à Bordeaux,Lille,Bordeaux
Il prévoit de voyager de Marseille à Lyon,Marseille,Lyon
Elle prend un billet de train de Rennes à Toulouse,Rennes,Toulouse
Nous avons un trajet de Paris à Nice prévu,Paris,Nice
Il prévoit un voyage de Marseille à Rennes,Marseille,Rennes
Elle prend un billet pour un trajet de Lille à Lyon,Lille,Lyon
Nous avons un vol de Bordeaux à Toulouse,Bordeaux,Toulouse
Elle veut rejoindre des amis de Paris à Marseille,Paris,Marseille
Il cherche un itinéraire de Lyon à Strasbourg,Lyon,Strasbourg
Elle prévoit de prendre le train de Rennes à Bordeaux,Rennes,Bordeaux
Nous partons en train de Toulouse à Nice,Toulouse,Nice
Elle veut prendre un billet de Marseille à Paris,Marseille,Paris
Il prévoit de partir de Lille pour visiter Lyon,Lille,Lyon
Elle prend un avion de Bordeaux à Strasbourg,Bordeaux,Strasbourg
Nous avons réservé un billet de Paris à Nice,Paris,Nice
Elle part de Rennes pour un séjour à Toulouse,Rennes,Toulouse
Il cherche un vol de Marseille à Lyon,Marseille,Lyon
Elle prévoit de voyager de Bordeaux à Paris,Bordeaux,Paris
Nous réservons un vol de Lille à Marseille,Lille,Marseille
Elle veut partir de Toulouse pour un événement à Rennes,Toulouse,Rennes
Nous prévoyons un trajet de Nice à Lyon,Nice,Lyon
Elle prend un billet pour un voyage de Paris à Bordeaux,Paris,Bordeaux
Il prévoit de rejoindre des amis de Marseille à Nice,Marseille,Nice
Elle veut voyager de Lille à Toulouse,Lille,Toulouse
Nous avons un vol de Rennes à Lyon,Rennes,Lyon
Elle prend un billet pour un trajet de Bordeaux à Strasbourg,Bordeaux,Strasbourg
Nous cherchons un vol de Paris à Toulouse,Paris,Toulouse
Elle prévoit de partir de Marseille pour visiter Rennes,Marseille,Rennes
Il prend un avion de Lyon à Lille,Lyon,Lille
Elle prévoit de voyager de Nice à Paris,Nice,Paris
Nous partons en train de Bordeaux à Marseille,Bordeaux,Marseille
Elle prend un vol pour un trajet de Toulouse à Strasbourg,Toulouse,Strasbourg
Nous avons réservé un billet de Lille à Rennes,Lille,Rennes
Elle veut voyager de Marseille à Lyon,Marseille,Lyon
Il cherche un itinéraire de Paris à Bordeaux,Paris,Bordeaux
Elle prend un billet pour un trajet de Rennes à Nice,Rennes,Nice
Nous avons un vol de Toulouse à Lille,Toulouse,Lille
Elle veut rejoindre des amis de Lyon à Marseille,Lyon,Marseille
Nous cherchons un vol de Bordeaux à Paris,Bordeaux,Paris
Elle part de Nice pour un séjour à Lyon,Nice,Lyon
Nous prévoyons de partir de Rennes pour visiter Bordeaux,Rennes,Bordeaux
Elle prend un billet de train pour un trajet de Toulouse à Paris,Toulouse,Paris
Nous avons réservé un vol de Lille à Lyon,Lille,Lyon
Elle veut voyager de Marseille à Bordeaux,Marseille,Bordeaux
Il prévoit un trajet de Paris à Rennes,Paris,Rennes
Elle prend un avion pour un voyage de Nice à Toulouse,Nice,Toulouse
Nous partons en train de Bordeaux à Lyon,Bordeaux,Lyon
Elle prévoit de voyager de Lille à Strasbourg,Lille,Strasbourg
Nous avons réservé un billet de Paris à Marseille,Paris,Marseille
Elle veut rejoindre ses collègues de Rennes à Bordeaux,Rennes,Bordeaux
Nous cherchons un vol de Toulouse à Lyon,Toulouse,Lyon
Elle partira de Nice pour un événement à Bordeaux,Nice,Bordeaux
Il prévoit un trajet de Lille à Paris,Lille,Paris
Elle prend un billet pour un voyage de Marseille à Toulouse,Marseille,Toulouse
Nous avons un vol de Rennes à Nice,Rennes,Nice
Elle prévoit de rejoindre des amis de Paris à Lyon,Paris,Lyon
Nous prévoyons de partir de Bordeaux pour visiter Marseille,Bordeaux,Marseille
Elle prend un billet de train pour un trajet de Toulouse à Rennes,Toulouse,Rennes
Nous avons réservé un vol de Lille à Marseille,Lille,Marseille
Elle veut voyager de Lyon à Paris,Lyon,Paris
Il prévoit un trajet de Rennes à Strasbourg,Rennes,Strasbourg
Elle prend un avion pour un voyage de Bordeaux à Lille,Bordeaux,Lille
Nous partons en train de Nice à Toulouse,Nice,Toulouse
Elle prévoit de voyager de Paris à Bordeaux,Paris,Bordeaux
Nous avons réservé un billet de Marseille à Lyon,Marseille,Lyon
Elle veut rejoindre des collègues de Toulouse à Rennes,Toulouse,Rennes
Nous cherchons un vol de Lille à Nice,Lille,Nice
Elle partira de Lyon pour un événement à Bordeaux,Lyon,Bordeaux
Nous prévoyons de partir de Rennes pour visiter Paris,Rennes,Paris
Elle prend un billet de train pour un trajet de Toulouse à Strasbourg,Toulouse,Strasbourg
Nous avons un vol de Bordeaux à Marseille,Bordeaux,Marseille
Elle veut voyager de Nice à Rennes,Nice,Rennes
Il prévoit un trajet de Paris à Lille,Paris,Lille
Elle prend un avion pour un voyage de Marseille à Lyon,Marseille,Lyon
Nous partons en train de Toulouse à Bordeaux,Toulouse,Bordeaux
Elle prévoit de voyager de Rennes à Nice,Rennes,Nice
Nous avons réservé un billet de Lyon à Paris,Lyon,Paris
Elle veut rejoindre des collègues de Bordeaux à Marseille,Bordeaux,Marseille
Nous cherchons un vol de Lille à Rennes,Lille,Rennes
Elle partira de Nice pour un événement à Toulouse,Nice,Toulouse
Nous prévoyons de partir de Paris pour visiter Lyon,Paris,Lyon
Elle prend un billet de train pour un trajet de Bordeaux à Nice,Bordeaux,Nice
Nous avons un vol de Marseille à Lille,Marseille,Lille
Elle veut voyager de Toulouse à Strasbourg,Toulouse,Strasbourg
Il prévoit un trajet de Rennes à Paris,Rennes,Paris
Elle prend un avion pour un voyage de Lyon à Marseille,Lyon,Marseille
Nous partons en train de Bordeaux à Lille,Bordeaux,Lille
Elle prévoit de voyager de Nice à Toulouse,Nice,Toulouse
Nous avons réservé un billet de Paris à Rennes,Paris,Rennes
Elle veut rejoindre des amis de Marseille à Lyon,Marseille,Lyon
Nous cherchons un vol de Toulouse à Nice,Toulouse,Nice
Elle partira de Bordeaux pour un événement à Lyon,Bordeaux,Lyon
Nous prévoyons de partir de Lille pour visiter Paris,Lille,Paris
Elle prend un billet de train pour un trajet de Marseille à Bordeaux,Marseille,Bordeaux
Nous avons un vol de Rennes à Strasbourg,Rennes,Strasbourg
Elle veut voyager de Nice à Lille,Nice,Lille
Il prévoit un trajet de Paris à Marseille,Paris,Marseille
Elle prend un avion pour un voyage de Toulouse à Bordeaux,Toulouse,Bordeaux
Nous partons en train de Lyon à Nice,Lyon,Nice
Elle prévoit de voyager de Lille à Paris,Lille,Paris
Nous avons réservé un billet de Rennes à Marseille,Rennes,Marseille
Elle veut rejoindre des collègues de Bordeaux à Lyon,Bordeaux,Lyon
Nous cherchons un vol de Toulouse à Lille,Toulouse,Lille
Elle partira de Nice pour un événement à Paris,Nice,Paris
Nous prévoyons de partir de Marseille pour visiter Rennes,Marseille,Rennes
Elle prend un billet de train pour un trajet de Bordeaux à Lyon,Bordeaux,Lyon
Nous avons un vol de Lille à Nice,Lille,Nice
Elle veut voyager de Toulouse à Bordeaux,Toulouse,Bordeaux
Il prévoit un trajet de Paris à Strasbourg,Paris,Strasbourg
Elle prend un avion pour un voyage de Rennes à Lyon,Rennes,Lyon
Nous partons en train de Marseille à Lille,Marseille,Lille
Elle prévoit de voyager de Nice à Paris,Nice,Paris
Nous avons réservé un billet de Lyon à Rennes,Lyon,Rennes
Elle veut rejoindre des amis de Bordeaux à Marseille,Bordeaux,Marseille
Nous cherchons un vol de Toulouse à Paris,Toulouse,Paris
Elle partira de Nice pour un événement à Lyon,Nice,Lyon
Nous prévoyons de partir de Marseille pour visiter Lille,Marseille,Lille
Elle prend un billet de train pour un trajet de Bordeaux à Strasbourg,Bordeaux,Strasbourg
Nous avons un vol de Lille à Lyon,Lille,Lyon
Elle veut voyager de Toulouse à Rennes,Toulouse,Rennes
Il prévoit un trajet de Paris à Bordeaux,Paris,Bordeaux
Elle prend un avion pour un voyage de Nice à Lyon,Nice,Lyon
Nous partons en train de Marseille à Paris,Marseille,Paris
Elle prévoit de voyager de Rennes à Strasbourg,Rennes,Strasbourg
Nous avons réservé un billet de Lyon à Lille,Lyon,Lille
Elle veut rejoindre des amis de Bordeaux à Paris,Bordeaux,Paris
Nous cherchons un vol de Toulouse à Marseille,Toulouse,Marseille
Elle partira de Nice pour un événement à Lille,Nice,Lille
Nous prévoyons de partir de Paris pour visiter Bordeaux,Paris,Bordeaux
Elle prend un billet de train pour un trajet de Marseille à Rennes,Marseille,Rennes
Nous avons un vol de Lille à Strasbourg,Lille,Strasbourg
Elle veut voyager de Toulouse à Lyon,Toulouse,Lyon
Il prévoit un trajet de Nice à Bordeaux,Nice,Bordeaux
Elle prend un avion pour un voyage de Rennes à Toulouse,Rennes,Toulouse
Nous partons en train de Paris à Lyon,Paris,Lyon
Elle prévoit de voyager de Marseille à Lille,Marseille,Lille
Nous avons réservé un billet de Bordeaux à Paris,Bordeaux,Paris
Elle veut rejoindre des amis de Lyon à Nice,Lyon,Nice
Nous cherchons un vol de Lille à Marseille,Lille,Marseille
Elle partira de Toulouse pour un événement à Paris,Toulouse,Paris
"Je passe la journée à Bayonne, retour à Pau ensuite",Bayonne,Pau
"Je suis en déplacement à Orléans, retour à Blois demain",Orléans,Blois
"En visite à Chartres, retour prévu à Dreux ce soir",Chartres,Dreux
"Je suis à Rennes pour une conférence, retour prévu à Saint-Malo demain",Rennes,Saint-Malo
"Je suis en vacances à Saint-Nazaire, retour à Nantes ensuite",Saint-Nazaire,Nantes
"En visite à Ajaccio, retour prévu à Bastia",Ajaccio,Bastia
"Actuellement à Amiens pour le travail, retour prévu à Beauvais ensuite",Amiens,Beauvais
"Je passe quelques jours à Toulon, retour prévu à Marseille",Toulon,Marseille
"Je suis en déplacement à Thionville, retour prévu à Metz demain",Thionville,Metz
"En vacances à Narbonne, retour prévu à Carcassonne",Narbonne,Carcassonne
"Je suis à Alençon pour le travail, retour prévu à Argentan ensuite",Alençon,Argentan
"En visite à Montauban, retour à Toulouse demain",Montauban,Toulouse
"Je suis en déplacement à Lannion, retour à Morlaix prévu demain",Lannion,Morlaix
"Actuellement en visite à Poitiers, je rentre à Niort ensuite",Poitiers,Niort
"Je suis en déplacement à Besançon, retour prévu à Dole",Besançon,Dole
"Je suis à Lorient pour quelques jours, retour prévu à Vannes",Lorient,Vannes
"En visite à Mulhouse, retour prévu à Colmar ce soir",Mulhouse,Colmar
"Je passe quelques jours à Lille, retour prévu à Roubaix",Lille,Roubaix
"Je suis en vacances à Arles, retour prévu à Nîmes",Arles,Nîmes
"Je suis en visite à Vichy, retour prévu à Moulins demain",Vichy,Moulins
"En déplacement à Périgueux, retour à Bergerac",Périgueux,Bergerac
"Je suis à Tarbes pour le travail, retour à Pau prévu demain",Tarbes,Pau
"En visite à Toulon, retour prévu à Marseille ce soir",Toulon,Marseille
"Actuellement à Paris pour une réunion, retour prévu à Versailles",Paris,Versailles
"Je passe la semaine à Rouen, retour prévu à Caen",Rouen,Caen
"Je suis en déplacement à Thonon-les-Bains, retour à Annecy",Thonon-les-Bains,Annecy
"Je suis en vacances à Avignon, retour à Aix-en-Provence",Avignon,Aix-en-Provence
"En déplacement à Troyes, retour à Sens",Troyes,Sens
"Je suis à Saint-Malo pour quelques jours, retour prévu à Rennes",Saint-Malo,Rennes
"Actuellement à Reims pour le travail, retour à Châlons",Reims,Châlons
"En visite à Pau, retour prévu à Tarbes demain",Pau,Tarbes
"Je suis en vacances à Saint-Quentin, retour prévu à Laon",Saint-Quentin,Laon
"Je passe quelques jours à Le Havre, retour à Rouen ensuite",Le Havre,Rouen
"Je suis en déplacement à Bayonne, retour prévu à Pau",Bayonne,Pau
"En vacances à Nancy, retour prévu à Metz",Nancy,Metz
"Je suis à Bourges pour le travail, retour prévu à Vierzon",Bourges,Vierzon
"En visite à Tours, retour prévu à Blois",Tours,Blois
"Actuellement en visite à Ajaccio, retour prévu à Bastia",Ajaccio,Bastia
"Je suis à Quimper pour quelques jours, retour prévu à Brest",Quimper,Brest
"En vacances à Toulouse, retour prévu à Albi",Toulouse,Albi
"En visite à Limoges, retour à Brive",Limoges,Brive
"Je suis en déplacement à Châteauroux, retour à Bourges",Châteauroux,Bourges
"Je passe la semaine à Orléans, retour prévu à Blois",Orléans,Blois
"Je suis à Lorient pour une conférence, retour prévu à Vannes",Lorient,Vannes
"En vacances à La Rochelle, retour prévu à Rochefort",La Rochelle,Rochefort
"Je suis en déplacement à Calais, retour à Boulogne-sur-Mer",Calais,Boulogne-sur-Mer
"Actuellement en visite à Metz, retour à Nancy",Metz,Nancy
"Je suis en vacances à Angoulême, retour prévu à Cognac",Angoulême,Cognac
"En visite à Perpignan, retour à Narbonne",Perpignan,Narbonne
"Je passe la journée à Brest, retour à Morlaix",Brest,Morlaix
"Je suis en déplacement à Dieppe, retour à Rouen",Dieppe,Rouen
"Actuellement en visite à Chambéry, retour à Grenoble",Chambéry,Grenoble
"En vacances à Brive, retour à Tulle",Brive,Tulle
"Je suis en déplacement à Annemasse, retour à Thonon-les-Bains",Annemasse,Thonon-les-Bains
"Actuellement en visite à Cannes, retour à Nice",Cannes,Nice
"Je passe la semaine à Montluçon, retour prévu à Moulins",Montluçon,Moulins
"Je suis à Mulhouse pour le travail, retour prévu à Colmar",Mulhouse,Colmar
"En visite à Dijon, retour prévu à Beaune",Dijon,Beaune
"Je suis à Alès pour quelques jours, retour à Nîmes",Alès,Nîmes
"En déplacement à Évreux, retour à Rouen",Évreux,Rouen
"Actuellement en visite à Lens, retour à Arras",Lens,Arras
"En vacances à Agen, retour prévu à Marmande",Agen,Marmande
"Je suis à Angers pour le travail, retour à Saumur",Angers,Saumur
"Je suis en déplacement à Morlaix, retour prévu à Brest",Morlaix,Brest
"En visite à Albi, retour prévu à Castres",Albi,Castres
"Je suis en vacances à Cognac, retour à Angoulême",Cognac,Angoulême
"Je passe quelques jours à Tulle, retour à Brive",Tulle,Brive
"Je suis en déplacement à Mende, retour à Rodez",Mende,Rodez
"En vacances à Saintes, retour prévu à Rochefort",Saintes,Rochefort
